ID	Delay	Delay2	Latency	Latency2	Success_Ratio	Energy	Hops	txPackets	rxPackets	ShortestPath	LongestPath	Orchestrators	Neighbors	Paths	Distance	DevFast	DevMedium	DevSlow	LoadSmall	LoadMedium	LoadBig
259	42.0123	44.4306	1.87456	4.29278	100	0.871431	28	5	5	1	10	5	19	5	1255	2	2	6	0	2	8
437	48.3164	49.0591	0.978641	1.72131	90	0.854104	19	5	4	3	8	5	20	5	1012	0	2	8	0	0	10
968	53.789	54.7702	2.55116	3.53241	90	0.840185	27	5	4	2	15	5	18	5	1040	0	0	10	0	0	10
292	55.2142	57.5636	0.819818	3.16919	92.3077	0.834645	35	9	8	1	17	4	19	24	1259	0	2	7	0	0	9
675	46.2812	50.3223	2.54344	6.58452	100	0.828109	33	6	6	1	16	5	19	5	1238	0	2	8	0	2	8
401	70.1915	72.0838	2.23781	4.13013	75	0.808299	33	13	9	1	10	3	19	43	1252	0	2	6	0	0	8
555	44.991	46.7925	1.25324	3.05476	90.9091	0.807275	19	6	5	2	8	5	18	5	1098	0	0	10	0	4	6
533	47.6576	49.4428	0.843891	2.62908	78.5714	0.807193	18	10	7	2	9	4	19	24	899	1	2	6	0	2	7
939	61.5867	65.0496	3.89236	7.35518	81.8182	0.802487	36	7	5	6	10	4	18	24	1256	0	0	9	0	0	9
266	38.7262	40.649	1.2884	3.21122	100	0.801938	21	5	5	2	7	5	19	5	980	0	2	8	0	6	4
352	49.275	52.8347	1.93724	5.49694	100	0.798382	27	6	6	1	9	5	20	5	1296	0	2	8	0	0	10
966	62.2012	65.6491	2.24754	5.69548	76.4706	0.797496	39	14	10	2	15	3	18	43	1278	1	0	7	0	5	3
832	59.2882	62.4881	1.59384	4.79375	100	0.7961	32	8	8	1	13	4	18	24	1077	0	0	9	0	0	9
807	53.2911	56.6451	1.23742	4.59144	72.2222	0.794623	43	15	10	2	16	3	19	43	1378	0	4	4	0	2	6
344	44.3828	46.333	1.10325	3.05344	100	0.794357	23	7	7	1	10	4	19	24	701	0	3	6	0	1	8
922	53.864	56.6379	1.05027	3.82414	80	0.794133	24	11	8	2	6	4	19	24	933	0	2	7	0	1	8
67	49.1825	49.6778	1.54474	2.04001	90	0.793319	11	5	4	1	4	5	19	5	933	0	0	10	0	2	8
114	55.2471	57.8374	0.933393	3.52363	86.6667	0.793189	28	11	9	1	10	4	19	24	1204	0	2	7	0	0	9
867	71.3587	75.6845	1.74431	6.07009	92.8571	0.791883	49	11	10	1	19	3	18	43	1162	0	2	6	0	0	8
269	38.5139	39.8928	0.69959	2.07847	100	0.790957	19	6	6	1	7	5	19	5	1198	0	2	8	2	2	6
766	43.0403	44.531	1.6872	3.17796	90.9091	0.788503	21	5	4	2	10	5	19	5	1444	2	2	6	0	2	8
130	54.5992	57.2723	1.40486	4.07794	100	0.787915	35	9	9	1	15	4	17	24	1286	0	0	9	0	2	7
240	34.017	34.8857	1.96391	2.83261	90	0.787721	18	5	4	3	6	5	18	5	1144	0	4	6	2	4	4
429	44.4127	47.4969	1.5749	4.65913	100	0.787522	23	6	6	2	10	5	18	5	1105	0	4	6	0	0	10
906	42.7047	44.6005	1.66691	3.56271	100	0.787362	28	5	5	1	9	5	18	5	1157	0	2	8	0	4	6
561	52.9771	54.4521	2.18268	3.65773	100	0.786852	32	8	8	1	10	4	18	24	1552	2	2	5	0	0	9
416	52.3853	53.1957	1.07153	1.88195	78.5714	0.786259	23	10	7	1	16	4	19	24	889	1	2	6	0	0	9
893	50.9446	53.0096	1.30835	3.37334	71.4286	0.784954	25	10	6	3	10	4	18	24	1132	0	0	9	0	4	5
895	52.2571	53.5457	1.01936	2.30786	81.8182	0.784317	15	6	4	2	8	5	19	5	1001	0	0	10	0	0	10
532	61.1563	64.5723	1.45851	4.87455	88.2353	0.784171	27	14	12	1	7	3	19	43	894	0	2	6	0	5	3
582	53.6664	56.0495	1.0301	3.41322	80	0.783802	23	11	8	2	6	4	19	24	1110	0	0	9	0	3	6
399	66.7849	71.1618	1.83128	6.20814	88.2353	0.78325	31	14	12	1	14	3	19	43	859	1	2	5	0	0	8
216	44.1321	44.6526	0.394286	0.914777	81.8182	0.783182	9	6	4	1	4	5	20	5	987	0	2	8	0	2	8
34	41.3214	43.2962	1.48357	3.45836	100	0.783032	21	6	6	1	6	5	19	5	1404	0	4	6	0	2	8
947	34.8657	37.5078	1.45588	4.09792	100	0.781594	20	6	6	1	7	5	19	5	1127	0	4	6	2	2	6
559	42.633	43.0303	0.695256	1.0925	90	0.78151	11	5	4	1	5	5	18	5	1267	0	2	8	0	4	6
707	48.5521	50.6707	1.21434	3.3329	100	0.781013	19	6	6	1	6	5	19	5	1372	0	2	8	0	0	10
874	52.2592	57.6205	2.14545	7.5067	78.5714	0.780675	26	10	7	3	12	4	18	24	996	0	2	7	0	2	7
83	43.8545	45.1904	1.01673	2.35264	90	0.779914	12	5	4	1	5	5	20	5	992	0	4	6	0	0	10
424	54.7085	56.2442	1.34152	2.87718	56.25	0.779257	21	13	6	2	6	3	19	43	1368	1	4	3	2	2	4
556	48.3572	49.3088	2.81946	3.77098	100	0.779179	15	5	5	1	5	5	20	5	792	0	2	8	0	2	8
820	49.4666	52.3492	1.63031	4.5129	86.6667	0.77879	25	11	9	1	10	4	19	24	1216	1	2	6	0	2	7
304	48.2445	50.0349	0.627582	2.41806	100	0.778618	23	9	9	1	4	4	19	24	939	0	0	9	0	4	5
168	43.4968	47.3336	1.37992	5.21668	100	0.778432	29	9	9	1	7	4	19	24	1329	0	2	7	0	6	3
840	48.1837	50.0533	0.986437	2.85597	84.6154	0.778095	26	9	7	1	9	4	18	24	1328	0	2	7	2	0	7
866	51.5949	54.3595	1.08772	3.85238	91.6667	0.777929	41	8	7	1	15	4	19	24	1319	0	2	7	0	2	7
273	52.5883	53.8041	1.27454	2.49034	57.1429	0.776841	16	10	4	3	10	4	19	24	935	1	2	6	0	0	9
851	48.7321	51.3023	1.39431	3.96449	100	0.775061	15	6	6	1	4	5	19	5	1191	0	2	8	0	0	10
29	42.3262	43.2556	2.77307	3.70255	100	0.774867	15	5	5	1	4	5	19	5	1087	0	2	8	0	6	4
134	37.1841	39.017	1.40338	3.23628	76.9231	0.773978	22	8	5	2	8	4	19	24	1526	2	4	3	2	0	7
